#971  datapoints: v_lsr [km/s] and T_B [K]
#LAB  survey ------------------
#wanted position:  l, b, RA, DEC, and interpolated  NH
#29.00 ;   0.00 ; 281.06 ;  -3.50 ;  0.198E+23
     129.43     1.198
     128.60     1.144
     127.78     1.044
     126.95     1.387
     126.13     1.349
     125.30     1.386
     124.48     1.509
     123.66     1.625
     122.83     1.809
     122.01     1.981
     121.18     2.345
     120.36     2.549
     119.53     3.243
     118.71     3.570
     117.89     4.177
     117.06     5.295
     116.24     6.761
     115.41     7.805
     114.59     9.492
     113.76    12.385
     112.94    15.448
     112.11    19.642
     111.29    24.232
     110.47    30.089
     109.64    35.636
     108.82    41.149
     107.99    46.482
     107.17    50.961
     106.34    55.319
     105.52    58.815
     104.70    62.662
     103.87    65.573
     103.05    68.781
     102.22    71.776
     101.40    74.696
     100.57    76.803
      99.75    77.582
      98.92    77.461
      98.10    76.273
      97.28    76.086
      96.45    75.285
      95.63    75.489
      94.80    75.370
      93.98    76.193
      93.15    76.582
      92.33    78.584
      91.51    78.925
      90.68    78.805
      89.86    77.654
      89.03    76.926
      88.21    75.718
      87.38    75.169
      86.56    73.915
      85.73    72.800
      84.91    73.714
      84.09    74.677
      83.26    75.992
      82.44    77.838
      81.61    79.455
      80.79    81.239
      79.96    85.256
      79.14    88.462
      78.32    90.642
      77.49    93.112
      76.67    94.117
      75.84    94.983
      75.02    96.109
      74.19    96.839
      73.37    96.635
      72.54    96.994
      71.72    97.116
      70.90    97.874
      70.07    99.082
      69.25    99.218
      68.42    98.977
      67.60    97.452
      66.77    95.620
      65.95    93.984
      65.13    92.285
      64.30    91.459
      63.48    90.196
      62.65    88.818
      61.83    87.109
      61.00    85.438
      60.18    84.662
      59.35    82.693
      58.53    80.166
      57.71    77.928
      56.88    77.004
      56.06    75.388
      55.23    75.610
      54.41    77.533
      53.58    80.222
      52.76    83.968
      51.94    86.822
      51.11    90.654
      50.29    92.054
      49.46    92.878
      48.64    93.319
      47.81    94.261
      46.99    94.151
      46.16    93.927
      45.34    92.240
      44.52    89.917
      43.69    87.972
      42.87    87.691
      42.04    87.889
      41.22    89.844
      40.39    90.781
      39.57    91.646
      38.75    92.230
      37.92    92.968
      37.10    92.554
      36.27    92.151
      35.45    91.689
      34.62    90.924
      33.80    89.962
      32.97    89.650
      32.15    90.579
      31.33    92.615
      30.50    95.926
      29.68    99.885
      28.85   103.053
      28.03   105.927
      27.20   105.197
      26.38   107.049
      25.56   109.175
      24.73   109.935
      23.91   109.165
      23.08   108.611
      22.26   105.922
      21.43   102.314
      20.61    98.254
      19.78    93.515
      18.96    88.793
      18.14    83.283
      17.31    77.795
      16.49    72.609
      15.66    69.050
      14.84    65.608
      14.01    64.267
      13.19    63.513
      12.37    62.072
      11.54    60.300
      10.72    58.619
       9.89    55.029
       9.07    49.225
       8.24    45.965
       7.42    50.714
       6.59    56.531
       5.77    58.869
       4.95    62.700
       4.12    67.313
       3.30    71.870
       2.47    75.377
       1.65    72.643
       0.82    65.884
       0.00    66.865
      -0.82    70.849
      -1.65    68.972
      -2.47    66.140
      -3.30    62.995
      -4.12    60.259
      -4.95    58.807
      -5.77    57.780
      -6.59    55.745
      -7.42    53.947
      -8.24    52.481
      -9.07    51.033
      -9.89    50.548
     -10.72    50.460
     -11.54    51.289
     -12.37    52.848
     -13.19    53.700
     -14.01    53.588
     -14.84    52.960
     -15.66    52.033
     -16.49    49.835
     -17.31    47.788
     -18.14    45.359
     -18.96    42.048
     -19.78    39.777
     -20.61    36.119
     -21.43    32.978
     -22.26    30.345
     -23.08    27.655
     -23.91    25.131
     -24.73    23.924
     -25.56    23.481
     -26.38    23.810
     -27.20    25.043
     -28.03    26.784
     -28.85    28.836
     -29.68    30.232
     -30.50    31.803
     -31.33    32.645
     -32.15    33.362
     -32.97    32.864
     -33.80    32.471
     -34.62    30.218
     -35.45    28.107
     -36.27    25.882
     -37.10    24.025
     -37.92    22.426
     -38.75    22.091
     -39.57    21.351
     -40.39    21.314
     -41.22    20.150
     -42.04    18.992
     -42.87    16.953
     -43.69    14.683
     -44.52    12.197
     -45.34    10.235
     -46.16     8.700
     -46.99     7.118
     -47.81     6.123
     -48.64     5.435
     -49.46     4.108
     -50.29     3.580
     -51.11     3.314
     -51.94     2.852
     -52.76     2.358
     -53.58     1.923
     -54.41     1.743
     -55.23     1.563
     -56.06     1.346
     -56.88     1.165
     -57.71     0.922
     -58.53     0.968
     -59.35     0.545
     -60.18     0.653
     -61.00     0.753
     -61.83     0.585
     -62.65     0.349
     -63.48     0.304
     -64.30     0.096
     -65.13     0.438
     -65.95     0.517
     -66.77     0.333
     -67.60     0.061
     -68.42     0.268
     -69.25     0.177
     -70.07     0.254
     -70.90     0.098
     -71.72    -0.026
     -72.54     0.182
     -73.37     0.171
     -74.19     0.211
     -75.02     0.175
     -75.84    -0.117
     -76.67     0.135
     -77.49    -0.119
     -78.32     0.249
     -79.14    -0.121
     -79.96    -0.090
     -80.79     0.081
     -81.61    -0.042
     -82.44     0.091
     -83.26     0.295
     -84.09     0.255
     -84.91    -0.066
     -85.73    -0.014
     -86.56    -0.123
     -87.38    -0.029
     -88.21     0.061
     -89.03     0.014
     -89.86     0.026
     -90.68     0.002
     -91.51     0.095
     -92.33     0.080
     -93.15     0.171
     -93.98    -0.079
     -94.80     0.122
     -95.63     0.112
     -96.45     0.199
     -97.28     0.194
     -98.10    -0.034
     -98.92     0.024
     -99.75    -0.145
    -100.57    -0.136
    -101.40     0.023
    -102.22     0.066
    -103.05     0.012
    -103.87    -0.187
    -104.70     0.042
    -105.52     0.160
    -106.34     0.013
    -107.17     0.213
    -107.99    -0.022
    -108.82     0.051
    -109.64    -0.058
    -110.47     0.110
    -111.29     0.108
    -112.11     0.027
    -112.94    -0.288
    -113.76    -0.242
    -114.59     0.127
    -115.41     0.200
    -116.24     0.019
    -117.06     0.100
    -117.89    -0.196
    -118.71     0.168
    -119.53     0.024
    -120.36    -0.110
    -121.18    -0.086
    -122.01     0.119
    -122.83    -0.138
    -123.66    -0.134
    -124.48     0.197
    -125.30    -0.008
    -126.13     0.100
    -126.95    -0.094
    -127.78    -0.137
    -128.60     0.045
    -129.43    -0.059
    -130.25    -0.038
    -131.08     0.055
    -131.90    -0.002
    -132.72     0.106
    -133.55     0.150
    -134.37    -0.064
    -135.20     0.020
    -136.02    -0.169
    -136.85    -0.012
    -137.67     0.186
    -138.49     0.235
    -139.32     0.042
    -140.14     0.232
    -140.97     0.191
    -141.79    -0.027
    -142.62    -0.030
    -143.44    -0.056
    -144.26     0.181
    -145.09    -0.061
    -145.91    -0.151
    -146.74     0.218
    -147.56    -0.087
    -148.39    -0.003
    -149.21    -0.107
    -150.04     0.022
    -150.86    -0.072
    -151.68     0.001
    -152.51    -0.147
    -153.33    -0.038
    -154.16     0.004
    -154.98    -0.028
    -155.81     0.075
    -156.63     0.026
    -157.45    -0.013
    -158.28     0.141
    -159.10     0.230
    -159.93    -0.074
    -160.75     0.003
    -161.58    -0.125
    -162.40     0.057
    -163.23    -0.135
    -164.05     0.128
    -164.87    -0.093
    -165.70     0.030
    -166.52     0.001
    -167.35     0.097
    -168.17     0.136
    -169.00    -0.171
    -169.82    -0.134
    -170.64    -0.046
    -171.47    -0.117
    -172.29    -0.084
    -173.12     0.011
    -173.94     0.025
    -174.77     0.036
    -175.59     0.044
    -176.42     0.089
    -177.24    -0.201
    -178.06    -0.061
    -178.89     0.141
    -179.71     0.066
    -180.54     0.093
    -181.36    -0.037
    -182.19     0.109
    -183.01    -0.096
    -183.83     0.063
    -184.66     0.307
    -185.48     0.076
    -186.31    -0.097
    -187.13    -0.065
    -187.96    -0.042
    -188.78     0.001
    -189.61    -0.146
    -190.43     0.017
    -191.25    -0.084
    -192.08     0.267
    -192.90    -0.143
    -193.73     0.112
    -194.55    -0.039
    -195.38    -0.053
    -196.20    -0.132
    -197.02    -0.179
    -197.85     0.171
    -198.67    -0.126
    -199.50    -0.025
    -200.32    -0.223
    -201.15    -0.226
    -201.97    -0.099
    -202.80    -0.135
    -203.62    -0.080
    -204.44    -0.180
    -205.27    -0.079
    -206.09     0.082
    -206.92    -0.074
    -207.74    -0.051
    -208.57     0.214
    -209.39    -0.184
    -210.21    -0.089
    -211.04    -0.062
    -211.86     0.001
    -212.69    -0.001
    -213.51     0.013
    -214.34     0.181
    -215.16    -0.127
    -215.99     0.043
    -216.81    -0.054
    -217.63     0.009
    -218.46     0.131
    -219.28    -0.006
    -220.11     0.140
    -220.93     0.195
    -221.76     0.099
    -222.58     0.062
    -223.40     0.132
    -224.23    -0.109
    -225.05    -0.098
    -225.88     0.084
    -226.70     0.141
    -227.53     0.241
    -228.35     0.127
    -229.18     0.130
    -230.00     0.005
    -230.82     0.059
    -231.65     0.083
    -232.47    -0.115
    -233.30    -0.043
    -234.12    -0.091
    -234.95    -0.079
    -235.77    -0.110
    -236.59     0.298
    -237.42    -0.120
    -238.24     0.118
    -239.07    -0.107
    -239.89     0.100
    -240.72     0.082
    -241.54     0.124
    -242.37     0.077
    -243.19    -0.054
    -244.01     0.033
    -244.84    -0.079
    -245.66    -0.188
    -246.49    -0.059
    -247.31    -0.167
    -248.14     0.080
    -248.96    -0.142
    -249.78     0.001
    -250.61    -0.005
    -251.43     0.006
    -252.26     0.171
    -253.08     0.077
    -253.91     0.035
    -254.73    -0.026
    -255.56     0.056
    -256.38    -0.083
    -257.20     0.128
    -258.03     0.068
    -258.85    -0.140
    -259.68    -0.016
    -260.50    -0.036
    -261.33     0.027
    -262.15    -0.189
    -262.97     0.048
    -263.80    -0.061
    -264.62     0.033
    -265.45     0.173
    -266.27     0.078
    -267.10    -0.160
    -267.92    -0.224
    -268.75    -0.074
    -269.57     0.087
    -270.39     0.097
    -271.22    -0.134
    -272.04     0.143
    -272.87     0.277
    -273.69     0.135
    -274.52     0.019
    -275.34    -0.144
    -276.16     0.056
    -276.99     0.045
    -277.81    -0.030
    -278.64     0.132
    -279.46    -0.191
    -280.29    -0.041
    -281.11     0.235
    -281.93    -0.058
    -282.76    -0.100
    -283.58     0.014
    -284.41    -0.048
    -285.23    -0.052
    -286.06    -0.144
    -286.88    -0.034
    -287.71    -0.010
    -288.53    -0.096
    -289.35     0.124
    -290.18    -0.149
    -291.00    -0.015
    -291.83     0.002
    -292.65    -0.173
    -293.48     0.025
    -294.30     0.163
    -295.12     0.048
    -295.95     0.116
    -296.77     0.014
    -297.60     0.009
    -298.42    -0.135
    -299.25     0.180
    -300.07     0.054
    -300.90    -0.001
    -301.72     0.166
    -302.54    -0.008
    -303.37    -0.039
    -304.19     0.089
    -305.02    -0.124
    -305.84     0.136
    -306.67    -0.032
    -307.49    -0.087
    -308.31     0.248
    -309.14    -0.166
    -309.96    -0.045
    -310.79     0.112
    -311.61     0.041
    -312.44    -0.208
    -313.26    -0.032
    -314.09     0.060
    -314.91     0.057
    -315.73     0.158
    -316.56    -0.073
    -317.38     0.199
    -318.21    -0.073
    -319.03     0.054
    -319.86     0.011
    -320.68     0.043
    -321.50     0.049
    -322.33    -0.068
    -323.15    -0.064
    -323.98     0.198
    -324.80     0.132
    -325.63     0.000
    -326.45    -0.004
    -327.28     0.019
    -328.10     0.058
    -328.92    -0.049
    -329.75    -0.178
    -330.57    -0.025
    -331.40    -0.017
    -332.22     0.141
    -333.05    -0.042
    -333.87    -0.060
    -334.69    -0.015
    -335.52    -0.037
    -336.34     0.186
    -337.17     0.120
    -337.99    -0.101
    -338.82    -0.168
    -339.64    -0.059
    -340.47    -0.106
    -341.29    -0.026
    -342.11    -0.125
    -342.94     0.052
    -343.76    -0.094
    -344.59     0.050
    -345.41     0.002
    -346.24     0.154
    -347.06     0.018
    -347.88     0.034
    -348.71    -0.054
    -349.53    -0.052
    -350.36     0.148
    -351.18    -0.141
    -352.01     0.116
    -352.83     0.057
    -353.66     0.055
    -354.48    -0.198
    -355.30    -0.005
    -356.13    -0.227
    -356.95     0.001
    -357.78     0.061
    -358.60     0.120
    -359.43    -0.053
    -360.25    -0.138
    -361.07    -0.091
    -361.90    -0.014
    -362.72    -0.049
    -363.55    -0.032
    -364.37    -0.189
    -365.20    -0.019
    -366.02     0.016
    -366.85     0.151
    -367.67     0.058
    -368.49     0.008
    -369.32    -0.055
    -370.14    -0.152
    -370.97     0.017
    -371.79    -0.037
    -372.62     0.281
    -373.44     0.082
    -374.26     0.190
    -375.09     0.030
    -375.91     0.044
    -376.74    -0.102
    -377.56    -0.173
    -378.39    -0.175
    -379.21     0.074
    -380.04    -0.002
    -380.86    -0.061
    -381.68     0.083
    -382.51    -0.180
    -383.33    -0.026
    -384.16     0.043
    -384.98     0.003
    -385.81    -0.123
    -386.63     0.049
    -387.45    -0.061
    -388.28     0.015
    -389.10    -0.004
    -389.93    -0.202
    -390.75     0.016
    -391.58     0.010
    -392.40    -0.026
    -393.23    -0.080
    -394.05     0.019
    -394.87    -0.081
    -395.70     0.334
    -396.52     0.144
    -397.35     0.073
    -398.17     0.099
    -399.00     0.110
    -399.82     0.048
